-64067,40238,-53872,8540,66827,22966,29160,-17507,-29472,-26221,-66478,123682,67186,60724,1,57008,46237,-60901,79114,-11264,-166241,-44174,-38229,-2293,21897,-10609,-25135,77613,-59726,-35064,-2373,1018,-66060,33639,78888,-22515,-35822,3543,72268,42948,-39679,-815,-75434,39513,-103101,23013,-36684,14631,-71970,-54241,-34633,44098,38858,-15834,-12328,-42627,-80421,5599,-13555,-23415,26011,3395,-13487,74828,34002,17649,59042,108352,99573,13573,-24049,-38471,-79479,5846,-46978,-24779,-8399,4450,-16566,81035,78177,-115169,66753,39746,-71785,-52141,114675,-31489,59513,-70519,102525,7535,-61586,-55747,-86822,-60005,54622,-81536,-15336,-129540,38535,-27734,-43331,-54560,-17853,-46508,-48309,-44714,31581,-4669,118994,-18671,-61738,-54291,109717,1386,33781,40229,2929,20276,-23308,61786,22586,-100240,5852,63536,61907,48846,-6925,67373,-12141,70319,-56217,68471,-32662,-56993,-15617,80972,-41258,18496,75753,-62277,-32578,-85187,-9410,15017,-27946,23817,-168800,65900,-24538,-24824,33942,38571,-2800,-7592,-7515,-67513,66377,33917,-70363,-74709,-37522,-77052,-35128,-88338,13645,30787,23658,-11443,74998,1014,27172,80714,66267,-33669,-109356,591,-1065,-8902,43248,11176,-68856,-88911,-37428,-1963,-24563,185721,41437,3917,44727,-33931,134287,89863,-36539,-63489,53633,20994,-81368,92003,-28927,24300,54257,13359,-51361,16114,57105,43903,41271,-1131,-11093,-42326,-29268,-23786,97969,-79622,82867,31211,2333,-69996,65257,44466,-69953,54504,38384,-4618,-80752,120872,-80596,-99537,53350,-37348,50080,-19338,-44820,-2706,-81196,57694,79132,-78080,69169,-38123,-57230,-72902,25103,48925,-42984,-73151,61266,-74548,97646,-11199,86904,-75030,51308,24830,27885,-54799,-50003,52702,-4506,-99608,22999,70584,90112,90381,60075,-82562,-67900,95296,-35200,33131,-36964,-26794,-6333
16509,-128956,84216,-9495,-43213,-8574,7388,-3043,-56060,55910,-12042,-31298,-60421,37560,7885,24630,39794,12399,76252,-48074,-64632,-159674,-53298,-52343,73995,4571,73835,-109576,87963,87223,32392,-43421,-81825,-31083,48610,-19149,-100396,46472,39914,50985,96390,37780,-39911,96976,43130,-37435,-46191,17845,-2109,41892,44235,-38278,-71199,2042,-45342,-115107,24905,65939,-38521,-49803,-119707,-17465,-43763,77492,-25646,29556,28561,30588,38865,106188,19142,-33962,-142385,-33795,-93199,49989,55401,9880,-1565,-90448,23848,32701,-58587,59490,84988,-79408,-37505,31962,-3513,54319,19571,80942,-46126,21295,-34899,-66567,36261,38610,-11811,-123638,-12054,-15147,-8264,-101421,-34139,11665,-1316,-3262,185,-39396,20575,16663,-15912,45070,-5297,-14222,-104934,-16572,30701,76941,37117,42429,-11349,84038,10801,-17496,94729,81874,-61354,110987,-1854,84928,-76945,35046,160981,-41335,-10276,-166826,-34622,20930,45478,77288,64125,-7272,-1986,114098,72411,41278,29277,-26038,12152,-48477,-104175,-15642,43250,-30046,-68577,5263,-52480,-22647,-114929,124453,69776,-30909,-97618,148836,49972,3740,13017,42318,-96629,61782,13113,-29375,-13860,-7958,56583,-28904,25574,28486,13281,28669,14344,64241,-30011,-32574,86724,13515,-2184,49563,-47566,76022,-32354,-10399,58534,141507,52184,-80096,-78602,-55839,-21911,-11769,80034,-29545,55629,27466,-55388,39456,-64008,4546,-2437,89939,-1160,-6588,-18603,65969,-44337,52064,-23952,64134,14734,-98838,-32534,-53831,51576,87100,69847,12219,65817,-62076,-12520,97507,65671,5238,59933,-8510,32212,-134651,-23621,96360,43617,49678,40640,20212,-68654,6003,-16411,105602,-11358,-3782,5753,-3140,-43598,-17514,88859,4106,60089,79183,-20426,74575,114566,85396,38353,-40757,170469,30307,-60110,75052,-49350,46401,-55219,87845,119618,-518,17631
-20782,-97315,-37056,-7439,1272,7852,-69059,-18624,-68831,-11893,28401,12932,3257,12023,26949,-71933,-23705,-9668,-69341,-2680,-5025,77530,65600,-10331,38699,9975,35801,36273,-60366,48250,-35374,-33390,-31221,-53019,-42080,-75408,53121,10300,31213,-39776,48313,61431,-11543,19802,-71425,33050,67067,-19183,72439,25156,57364,6783,30203,71572,70662,-59914,-28581,-48196,-93271,83046,-23809,60994,-80334,-9904,15524,24634,10949,45494,14605,-107967,-112329,-31919,66041,35666,65688,-81923,-134262,-86306,112220,-9110,48396,-53016,-92019,-17971,-7099,26118,54527,-29613,43594,-73983,-59064,-18715,-38611,-53683,1424,-2208,7118,-1417,54472,-8155,-59973,37501,-14503,-20133,77604,26900,1018,-60067,41693,-28113,20814,29902,-76004,3528,90540,-13336,-92424,-135569,32522,-48057,5285,-44484,28653,116799,-28291,-28529,-8917,-83502,68386,-61223,-35396,-77050,-90722,70582,35043,-75036,129478,21629,94334,28492,1116,-67008,74379,-29563,24074,-18891,-30587,-26755,132945,16880,-55063,75192,-9936,123955,63723,-34429,98330,32201,103478,127701,-84989,23376,6566,68387,-33367,71720,-34645,3122,72798,-45646,37028,1231,2245,-57513,-13183,-111367,-5759,-64376,53138,-104723,-71587,62122,48547,-21298,108494,-20439,70465,45252,-38038,40041,-30244,-13058,33461,4895,1587,41312,11518,54551,-10656,-28517,45599,22255,316,22047,21759,59563,30671,100541,134173,-74994,45347,25747,-31355,45847,-35275,-73787,-27710,117604,-41861,67957,-46652,-38882,-2381,-41756,-43592,-1704,-78379,-1384,-88530,-43895,-36406,-24471,-31641,-63787,-59208,61222,-3500,10060,18447,111158,-27460,22809,14459,-16240,53152,76570,-20537,18219,38511,-39441,18834,34655,31340,29070,20472,-19391,61232,-1951,17100,78400,-6314,74588,8888,-94058,36126,9150,23198,17709,-60742,120615,60817,35576,-74749,40964,38411
3062,-40410,15899,-69419,4920,-58184,-24697,-41752,-88082,4873,32403,51959,16269,23573,24447,8474,77416,90132,-38453,62661,-19033,44424,5454,-43209,-37601,-58589,-14433,92316,-16500,-4411,42644,17764,3799,11505,-97871,-83577,-9132,171458,61693,29719,84036,37452,560,8742,56557,92324,-1724,19049,54507,-24088,3636,-25426,-2074,100588,29882,89533,65477,27316,-12936,22004,113143,-43524,-5682,2886,31655,-113528,58615,114474,26815,37627,-16943,53441,39644,95740,19328,-31803,-54304,-116776,20831,43346,5263,-15367,64837,41388,45849,30182,87488,-5339,-18503,70174,-33452,25188,71668,53071,78928,41592,-10846,-74229,66698,7513,17131,61634,352,46275,41526,-164545,-60647,-108908,10396,41011,-83845,-2100,-32104,46536,-9204,61497,53520,47328,56152,2625,36358,-46708,-85127,-5459,54183,-62950,24568,-51140,30438,-9782,-5316,74460,1258,93357,49928,92651,38296,-45694,-108542,82120,56556,76635,-64972,155011,-3689,-46489,-50905,-29436,65889,17895,97071,2212,-3672,18586,-12959,-70582,-84143,24840,-88445,-32826,-1931,-17565,-58106,34955,32984,11979,-35290,-76801,-20475,-78065,48669,54784,87480,-85186,8958,-25177,1612,-8578,-14833,33898,29054,-18676,105053,-5214,89191,23066,83827,-91656,-19854,-41468,-38145,109764,-42807,-32533,36286,53314,53545,29753,18239,-106299,39185,23599,-7473,-58864,71825,-42374,-121590,48176,107029,42409,8364,39080,12233,13558,-40828,-43771,-93254,47642,-11574,-63520,-35386,42301,23509,33759,46070,-64800,-4111,50556,114044,14559,12099,-88529,48683,-16276,-1523,34222,80937,-52353,34097,60746,32420,62742,33148,-11191,49404,33302,18269,-124784,-48104,26704,18347,60418,-118270,-56503,19662,61810,-54308,-1649,19669,1826,-131218,-47490,47314,36109,-82124,59632,35369,-43149,-40337,-63158,-36684,-26936,76249,59803,-4262
59311,37251,-71438,103941,-12352,-9788,-125126,-27281,-17640,-29606,-38297,20101,124637,62694,2702,-87095,68578,-97115,-13438,-80069,-10082,-50736,48689,-56147,-7454,55080,28626,55095,19036,103890,-36719,20668,-64413,-163116,76647,-76940,39020,33507,-39619,-21525,33978,47086,-80248,46791,-14570,-80895,-33655,99990,-78739,40375,57249,580,79841,81540,219960,6915,76729,-84263,-88756,50027,31486,-124730,-52246,-72532,73940,-50127,-140717,57899,49542,-76277,66024,-20421,-31379,24854,32556,-22512,-79161,-42888,-18760,-32881,7313,85869,28649,41337,51845,-63757,9966,19745,4934,69503,-73120,164838,10804,13640,74323,-38205,14442,-76124,-4628,-14541,43941,97651,-122208,-69945,84771,-97018,91628,-68734,-22314,-52399,3466,-35853,-102109,-29265,-141477,9711,-35110,-37425,53148,-81388,20417,-32132,15701,76416,-58678,-29849,-69166,-150695,-138614,5197,-56192,1156,-32622,8464,-36171,117441,54179,-55080,46414,-16327,-5261,-7459,-61828,-33716,-30664,-19429,-18366,-36393,-2652,-44028,22858,11783,30764,-1527,108554,54332,14631,-109892,-253,13737,-78642,43835,-16061,-53236,-3203,4721,-106061,-65968,-37490,-33693,133308,-67749,-9533,78900,-8072,-39797,26199,50605,53000,118551,53363,-9863,-53388,-93367,26283,3403,68393,50823,-108686,34713,-7481,-40504,-28392,36041,-19401,4550,-75762,-18335,9369,122869,26519,29914,-29306,-69545,-13458,57385,-7181,50262,68547,-2555,-87304,6982,-6854,15312,-68455,-36010,-13927,142770,99883,41299,-8743,-48089,-15880,-16853,22439,93601,10693,-83704,-52133,-52213,1062,19078,9190,32000,11729,43099,-63377,-58214,96589,78980,45294,-68949,50586,-32024,-91118,37896,-38886,-51538,62963,19867,20507,-132368,24057,-22198,8200,-41073,-6467,-36879,129863,-89180,41724,-10883,54090,32127,20046,-75286,5157,2399,32007,-118281,-4545,-56838,17159,1300,24310
-16562,10549,-32911,52116,79283,-85037,-72571,-83670,-5123,-19124,1759,73975,1042,30908,28215,85661,30879,-96869,-79712,96751,-24951,16088,142476,-30836,-41600,-54339,-68273,163289,38630,13368,-17036,91132,149894,99790,-65648,-43401,-10309,-78571,49506,-71828,26210,-79370,-56039,53890,-4368,12586,36191,63183,80086,-71394,-3401,4843,-23593,111064,28218,14998,51597,-65474,-7441,-5755,-73963,-29178,54156,-52176,-1274,-36815,63368,28502,28182,33503,3652,81370,-70302,6163,-50916,16826,-23657,7196,54929,-70111,31964,-34563,64295,4212,-65848,75755,3615,9290,44888,80274,-81392,-21597,-11807,69159,-1327,-71854,-115136,-4971,12461,-44263,101781,-4638,-17779,57732,29356,38034,-42233,-41720,45467,-21836,-81966,-38778,22120,37545,3095,38663,126389,35408,-5296,-59182,-12588,-36980,-52267,2217,-39155,80360,4164,48188,76139,37990,-55394,-5073,-30469,23766,130681,12368,-38440,-70887,10989,8978,87693,35837,-13257,-19831,22974,-40917,-65721,19248,19405,-2941,69993,29498,-24591,40473,-79609,95395,14450,-14284,-1932,51226,1800,-44310,-2432,-58458,34626,65439,30028,69959,50176,9155,-38660,15391,71771,-18752,38486,-42601,-109272,-68862,-20230,35582,-5264,-27207,-18533,40466,7076,-53624,-49444,12840,-74749,-45000,29175,22105,-16560,99580,-11609,25611,-60370,-9229,13923,1102,-72235,22861,13043,-52104,-29043,-34668,-32868,-60937,11694,1073,-15075,36042,45591,-9850,108522,-22782,-82119,9227,7311,41443,14135,59898,-42040,-44788,46026,35840,10265,4572,-29252,819,50635,-115564,-12113,-96732,-59502,6426,-68615,10585,52140,714,25190,29177,-89926,-48103,79454,-17655,74807,-76025,11484,14320,2738,-87989,-14243,-59593,26306,36045,-7920,7996,-110148,-5470,28458,-164827,-67544,18940,-29231,-15279,-143109,-59640,-75380,-5595,-61446,-91924,29166,-13296,-97782
-23539,12935,24501,89797,32850,20367,-881,10304,-41956,-94933,7922,-5492,46348,-24024,-37284,33706,-26116,94741,107652,-42454,51057,-57095,-51661,100393,-7271,16561,-36367,-55753,-8422,-17830,-24542,-26061,116059,-54208,53586,50685,11053,20616,139494,-51049,-38205,-64823,34578,-30391,-9455,-13209,50365,5322,-471,40114,20688,-7275,-77653,-46135,120545,26124,38577,-65426,52326,13984,-41862,-73119,33353,-8373,-125608,34882,4843,-79110,-24922,77075,-8161,44623,48526,4312,-66338,50965,27781,-144388,41358,-61896,-30154,73163,-6015,16899,18814,-55852,-47678,-16464,-45798,-63657,16466,62600,-44325,14660,50628,140378,-17715,-110834,-7344,12142,-109188,-50345,-18303,54640,-68414,67764,169,84974,8558,51315,34761,24789,114077,-74714,68393,40878,-8014,37708,-8153,-46917,68579,29656,49640,-112120,116800,-49700,20482,-26388,105031,35755,135010,-56466,-20017,-29644,5286,44232,33937,15763,21537,-9530,38190,-111249,9957,-51235,-21081,-9640,-9227,22918,-70581,19800,-43850,6921,-28262,-18181,-79011,34086,22296,41774,-33474,8367,-1457,-64748,-118027,42468,95461,-71068,29031,4145,-56738,-92896,37590,47703,-82305,-49629,32976,88617,-67842,-7548,-127723,44878,-7676,-69166,-27932,22869,3671,-18513,20524,62021,27783,-48681,-19210,35673,-72759,-62492,39625,-62989,29799,-91656,40705,-22230,645,-4566,-87774,-41153,92899,-49676,97955,37438,5160,-6959,-58006,-86595,-97993,27189,93490,101209,21111,39476,48979,-81429,-12033,122272,107287,57757,-78051,18721,25911,10367,-69005,68193,-36713,29051,-3615,85356,-31264,-25195,-100679,6317,82995,-83157,-113281,-38310,32224,-18688,-38739,-50646,47943,-8572,-13871,8697,-51946,-56192,45984,24805,-67391,-125110,-38688,-35910,90549,-138277,-72447,-56822,-107895,79291,-38443,-73592,-35243,-24105,49227,27917,-88303,-3819,-57335,-1580,-63971
-750,58385,18244,-21104,-8712,-149583,60899,-28494,-205991,-126405,14631,140886,-4943,-10759,68541,-30369,-35100,-30011,-62089,-82293,-56541,-116621,62525,-64929,-37906,91238,-1184,18777,-77538,105329,-31901,-19903,-57838,50354,-6697,-84582,22170,70847,-14134,46951,54104,-29035,-38127,60907,-21617,-17322,5042,-38246,74783,40286,34990,30887,37583,-61730,31669,8536,87466,15318,-44358,48940,40451,9333,58720,-77053,34212,-4421,42270,-46607,-107154,65622,58214,3958,-1945,90811,-2145,-6369,2110,80228,-101095,-20504,20353,-132307,62279,-95193,-34863,79101,8735,-57416,-51621,2795,26180,24289,-104782,-13732,-103634,73276,20317,7570,17650,-17856,-30282,67911,-1083,34011,-63945,559,-36834,8386,-23644,20940,-63333,62935,-28788,-15538,19289,-18801,38772,17783,322,1334,-49510,56149,-50190,1343,-3038,98050,127247,-59701,19567,-22393,52963,-61139,-17383,69320,-11846,-57250,-26959,-68127,65993,-70883,-37730,13092,-103145,14469,-23024,91674,23454,10382,-44472,-49479,131208,-15999,-103504,-25243,10757,72655,90023,56560,47997,29501,-20949,3420,-38084,2345,-69879,31673,-77735,7330,6654,45228,-4076,-75598,-1033,46627,85908,20038,-83280,29362,-20388,84946,120891,69957,42444,-38491,-72232,53967,-62859,18077,10949,3880,17229,-66398,14172,-11917,-51924,26239,-10179,34524,-39653,68410,29862,-95000,76267,6119,59270,2964,-48795,44680,-61408,-61275,-104262,-48743,42297,14301,-44661,-19756,18232,-90040,-21181,-30200,8033,-32282,1543,169,22930,48280,-13400,17753,45716,11041,-22555,68074,-46329,-75878,83599,79654,72209,61469,-19484,59712,33636,56628,-15983,26818,-10519,-82779,-22841,-79832,59842,-5294,66933,-18706,-47891,37281,107679,-41714,-40250,28810,8380,-114228,28504,14730,120594,75475,20795,-60716,74750,87803,-37859,-17610,-173414,-85159,-14078,13974,-317
-26096,-20768,-46925,63312,-70660,-34229,17636,26534,-8798,-9327,-57892,-64225,59070,30057,93271,-54209,62491,19556,-9892,31970,32047,-26131,29855,45122,93700,37834,-12956,-8557,39345,69980,26477,-42250,-140211,-13256,-3357,-57347,44827,2560,-43210,-20511,44188,-38753,-43141,-25386,-46800,-40360,-62881,-38690,-2611,-68935,7602,-10833,156733,21728,-33991,24707,30589,-42998,-60395,14881,49483,-55106,-65078,12128,19289,104230,13138,44197,-16885,-27217,-13410,-9330,-25053,-46369,-58000,31105,60329,32111,52960,101818,-103688,45309,60872,-7408,-9038,-95918,17256,-109302,76646,17086,19640,53496,-95446,-24754,61883,81165,-44630,95978,-31029,-61765,-5341,-74751,-29513,-30929,-34008,12897,-15695,-43793,22590,10785,-76963,-8144,-22580,-17775,80272,-53002,-66208,17918,113236,-88525,-24540,28760,-22623,-17944,-80364,-49873,-25974,8602,50693,57331,81383,-47620,-80388,67123,75389,-53127,19714,95321,60146,16499,39095,36782,-87693,-20474,45031,-31079,30290,42688,82315,-13337,123043,16311,-49971,-4559,85589,25110,23929,23525,-677,67957,-20948,43222,106214,-29185,70856,-93030,39703,-82076,188045,-5391,-50741,65570,-44092,62501,6010,-1511,-32604,82999,-43171,-24388,-58259,116669,19141,51647,-84272,26140,-10776,10398,-6163,-5594,-21947,10920,-94723,44863,-10065,-50679,40375,-27188,-27379,9432,-46981,5339,-88238,-47213,49085,-23768,-90481,-5264,-6415,-42388,-28185,73557,-25208,-71967,-17981,20774,16334,25431,-28256,94116,53585,-85271,99866,-96454,49906,-45513,69102,10153,39130,-49083,40447,14378,-16132,15163,88217,72070,-101770,47002,-22187,-6649,66164,-30444,-116169,50618,-105510,-31206,-45018,-32372,-34403,125272,-18740,8875,-6024,-19735,63231,16890,34573,128435,27143,11567,103047,31392,-354,36474,15653,-22155,-40885,-26293,-35927,30288,-15478,21089,-9771,146931,-97800
15872,49318,-20075,-89399,52444,2326,-437,-3067,42112,-41164,-97758,20792,-33254,-38140,160444,39755,-62446,-7988,-21446,69154,26308,-10414,-72709,-20471,-3257,33161,-16658,-182888,-196,-17532,-53638,-58874,59940,64612,-70835,28351,-10944,50324,-19181,63797,29779,-19914,34747,-66133,-19241,38716,-61693,-31958,-24528,-4940,164443,4757,-79238,13629,31995,99182,-64397,-8564,108905,33521,96084,70764,-18685,43086,551,-18731,-95012,-32450,88840,-35608,-64715,61645,-47708,138342,-4886,32061,59438,-27712,21616,187709,-3321,37689,155383,-121285,8728,62028,15149,-5722,13048,-94435,123500,35938,63372,42369,-12275,74577,58526,-29973,31638,27393,120941,3385,-10452,31986,19100,-101269,4527,3367,-102487,38798,58685,4659,-54225,-110589,13356,-13057,8653,94193,28751,48971,-56123,8576,-11564,-62080,39892,54065,-240,-28121,41634,27596,-16153,-171482,-45474,45343,-71279,-1152,54568,102462,34314,13135,-45369,160768,-34009,-79388,50287,18870,-31368,35566,89139,66638,-72838,-65757,62402,-41018,14838,-25110,-12360,-4663,110938,-121154,80715,37667,-33392,42483,-63304,-82645,-56468,-57905,-44903,42331,51471,-28483,55959,5374,-23608,73550,-30447,79973,513,-44517,-5093,11963,-32420,-8633,-14801,109524,26184,50074,39004,68297,23622,48607,-15266,-125959,-41302,42854,17580,49596,20803,29705,-51514,82632,57856,-47548,-13226,8762,96070,-5031,24018,-15571,21116,-25185,2623,-19181,18462,70901,84962,-19073,80724,-164487,-28783,68809,-75511,43277,-71945,-97902,-41506,10166,55121,85563,-60274,-40180,-32787,-20571,29079,38618,82559,-55592,37911,52754,110653,-7011,37797,48705,-41134,47238,30122,-41326,14412,2193,45539,-694,13868,26694,4669,36961,-106794,96104,-7381,-85153,-41821,-37153,8793,12660,-84148,-15320,91117,-66405,-53835,-82103,-7289,93681,21443,58221,-27682
